sample_id,sample_name,sample_path,shape_type,n_nodes,n_elements,kappa_1,kappa_2,q_1,q_2,relative_l2,mse,area_weighted_relative_l2,area_weighted_mse,max_absolute_error,mean_absolute_error
5,sample_00005_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00005_square\sample.npz,square,155,276,2.6964184532115896,4.996068124158237,9.985391177930387,2.269627364166893,0.3626364469528198,0.002682098653167486,0.4102739691734314,0.0029769940301775932,0.1610051840543747,0.04272593930363655
14,sample_00014_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00014_square\sample.npz,square,159,284,2.0681715033089123,2.7889261352312444,9.528438112051301,0.8519341605087083,0.5200802087783813,0.008290354162454605,0.578054666519165,0.009655640460550785,0.2535993158817291,0.06960400938987732
16,sample_00016_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00016_triangle\sample.npz,triangle,163,292,3.890338768479447,5.349610850634789,2.2063783976554907,2.1358693062115575,0.3505316376686096,7.95344531070441e-05,0.4270707666873932,9.739990491652861e-05,0.02633439004421234,0.007595052011311054
23,sample_00023_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00023_disk\sample.npz,disk,155,276,4.138789544517128,3.675924094937005,6.100234166923632,0.007609415789706642,0.4187943935394287,0.0005557097611017525,0.407850056886673,0.00046624793321825564,0.048317648470401764,0.018273288384079933
27,sample_00027_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00027_disk\sample.npz,disk,164,294,3.440816592301778,1.6616423761095689,1.7752459586651315,9.37455845946072,0.49099764227867126,0.0007185798604041338,0.48830971121788025,0.0004819355090148747,0.06992428004741669,0.02055002562701702
37,sample_00037_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00037_square\sample.npz,square,174,314,2.8622317059616886,17.30503995862129,1.2171949067267518,6.621357891566644,0.3583140969276428,0.00011335023009451106,0.4937528669834137,0.00015451879880856723,0.031192339956760406,0.008689646609127522
53,sample_00053_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00053_triangle\sample.npz,triangle,145,256,3.860136520645378,16.76973721019806,0.29087557082311366,9.70948618872088,1.0221270322799683,0.00013197268708609045,1.3096548318862915,0.00015652028378099203,0.020761556923389435,0.010639871470630169
61,sample_00061_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00061_disk\sample.npz,disk,170,306,2.119497977379512,4.560256840089932,4.725526481253577,6.015862190170163,0.42747917771339417,0.001703593647107482,0.4266032874584198,0.001499532605521381,0.08792512863874435,0.032440464943647385
64,sample_00064_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00064_square\sample.npz,square,175,316,2.8282218784088586,9.402576455802205,3.074010322073406,8.744789437614855,0.4426163136959076,0.0009444361203350127,0.4358598291873932,0.0006696094642393291,0.05951647087931633,0.024608882144093513
66,sample_00066_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00066_triangle\sample.npz,triangle,153,272,0.6157393965636769,9.529230464072972,7.970170408756154,8.542174414535245,0.3217870593070984,0.030188921838998795,0.34963756799697876,0.03124694898724556,0.3824872076511383,0.1389884501695633
70,sample_00070_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00070_square\sample.npz,square,158,282,4.871333692919372,8.484651083633453,7.359246599490351,4.708947560425329,0.47108888626098633,0.0008047135197557509,0.4671119451522827,0.0007608990417793393,0.06262428313493729,0.020810795947909355
71,sample_00071_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00071_triangle\sample.npz,triangle,149,264,2.4006146840051628,12.879194188093013,5.734341378331428,2.0340644868974045,0.48045554757118225,0.0023558030370622873,0.46026739478111267,0.001872963272035122,0.09429877251386642,0.03852158784866333
72,sample_00072_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00072_disk\sample.npz,disk,169,304,1.5583187356386647,2.3048430108564917,4.893804497571179,2.5008142958153945,0.3833503723144531,0.002131922636181116,0.37862223386764526,0.0017230362864211202,0.08588681370019913,0.03894954174757004
78,sample_00078_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00078_disk\sample.npz,disk,174,314,1.1375418812031253,11.31339761920321,6.61859157325789,0.44621309188643266,0.3394729793071747,0.0032247870694845915,0.430190771818161,0.004997570998966694,0.22228194773197174,0.03609060123562813
82,sample_00082_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00082_triangle\sample.npz,triangle,162,290,4.184759992080817,8.580321345093154,5.450887023584473,7.886855453034444,0.4613353908061981,0.0007527149864472449,0.4486042261123657,0.0005965742166154087,0.05521610751748085,0.02154979668557644
84,sample_00084_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00084_triangle\sample.npz,triangle,138,242,2.390106777405771,11.159485358872338,9.024167790234175,4.365744578862943,0.39951062202453613,0.004067887552082539,0.4013237953186035,0.0036879475228488445,0.13729074597358704,0.0529281310737133
86,sample_00086_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00086_square\sample.npz,square,183,332,4.656462270290597,8.448996116739414,9.423060958006593,5.100879534202033,0.48888760805130005,0.0019569077994674444,0.45909687876701355,0.0013230250915512443,0.07771521806716919,0.03620855510234833
88,sample_00088_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00088_disk\sample.npz,disk,159,284,1.2605917530185071,5.904367143459191,5.334408337412723,9.94260265023155,0.3577168583869934,0.0054130591452121735,0.3873741030693054,0.005222270265221596,0.17406609654426575,0.05695470795035362
